Title,Year,Director,Lead Actors,Rating,Rating Count
The Deer Hunter,1978,Michael Cimino ,"Robert De Niro, Christopher Walken",8.1,"337,801"
In the Name of the Father,1993,Jim Sheridan ,"Daniel Day-Lewis, Pete Postlethwaite",8.1,"174,431"
The Grand Budapest Hotel,2014,Wes Anderson ,"Ralph Fiennes, F. Murray Abraham",8.1,"797,859"
Barry Lyndon,1975,Stanley Kubrick ,"Ryan O'Neal, Marisa Berenson",8.1,"166,911"
Le salaire de la peur,1953,Henri-Georges Clouzot ,"Yves Montand, Charles Vanel",8.1,"61,136"
Mr. Smith Goes to Washington,1939,Frank Capra ,"James Stewart, Jean Arthur",8.1,"115,560"
Hacksaw Ridge,2016,Mel Gibson ,"Andrew Garfield, Sam Worthington",8.1,"516,640"
Sherlock Jr.,1924,Buster Keaton ,"Buster Keaton, Kathryn McGuire",8.1,"49,834"
Salinui chueok,2003,Bong Joon Ho ,"Song Kang-ho, Kim Sang-kyung",8.1,"180,471"
Klaus,2019,Sergio Pablos ,"Jason Schwartzman, J.K. Simmons",8.1,"146,804"
Relatos salvajes,2014,Damián Szifron ,"Darío Grandinetti, María Marull",8.1,"197,072"
Det sjunde inseglet,1957,Ingmar Bergman ,"Max von Sydow, Gunnar Björnstrand",8.1,"184,455"
Room,2015,Lenny Abrahamson ,"Brie Larson, Jacob Tremblay",8.1,"417,234"
Mad Max: Fury Road,2015,George Miller ,"Tom Hardy, Charlize Theron",8.1,"989,191"
Everything Everywhere All at Once,2022,Dan Kwan ,"Michelle Yeoh, Stephanie Hsu",8.1,"202,642"
How to Train Your Dragon,2010,Dean DeBlois ,"Jay Baruchel, Gerard Butler",8.1,"732,937"
The Big Lebowski,1998,Joel Coen ,"Jeff Bridges, John Goodman",8.1,"801,484"
Mary and Max.,2009,Adam Elliot ,"Toni Collette, Philip Seymour Hoffman",8.1,"176,908"
Jaws,1975,Steven Spielberg ,"Roy Scheider, Robert Shaw",8.1,"599,732"
"Monsters, Inc.",2001,Pete Docter ,"Billy Crystal, John Goodman",8.1,"899,491"
Tôkyô monogatari,1953,Yasujirô Ozu ,"Chishû Ryû, Chieko Higashiyama",8.1,"61,573"
Dead Poets Society,1989,Peter Weir ,"Robin Williams, Robert Sean Leonard",8.1,"483,939"
La passion de Jeanne d'Arc,1928,Carl Theodor Dreyer ,"Maria Falconetti, Eugene Silvain",8.1,"54,683"
Hotel Rwanda,2004,Terry George ,"Don Cheadle, Sophie Okonedo",8.1,"354,652"
Rocky,1976,John G. Avildsen ,"Sylvester Stallone, Talia Shire",8.0,"570,277"
Ford v Ferrari,2019,James Mangold ,"Matt Damon, Christian Bale",8.0,"383,435"
Platoon,1986,Oliver Stone ,"Charlie Sheen, Tom Berenger",8.0,"412,131"
Pather Panchali,1955,Satyajit Ray ,"Kanu Bannerjee, Karuna Bannerjee",8.0,"32,809"
Stand by Me,1986,Rob Reiner ,"Wil Wheaton, River Phoenix",8.0,"400,438"
The Terminator,1984,James Cameron ,"Arnold Schwarzenegger, Linda Hamilton",8.0,"856,726"
Spotlight,2015,Tom McCarthy ,"Mark Ruffalo, Michael Keaton",8.0,"466,220"
Rush,2013,Ron Howard ,"Daniel Brühl, Chris Hemsworth",8.0,"476,454"
Logan,2017,James Mangold ,"Hugh Jackman, Patrick Stewart",8.0,"750,086"
Network,1976,Sidney Lumet ,"Faye Dunaway, William Holden",8.0,"159,206"
Ratatouille,2007,Brad Bird ,"Brad Garrett, Lou Romano",8.0,"724,854"
Into the Wild,2007,Sean Penn ,"Emile Hirsch, Vince Vaughn",8.0,"619,607"
The Wizard of Oz,1939,Victor Fleming ,"Judy Garland, Frank Morgan",8.0,"396,861"
Groundhog Day,1993,Harold Ramis ,"Bill Murray, Andie MacDowell",8.0,"625,332"
Before Sunset,2004,Richard Linklater ,"Ethan Hawke, Julie Delpy",8.0,"262,351"
The Exorcist,1973,William Friedkin ,"Ellen Burstyn, Max von Sydow",8.0,"401,480"
The Best Years of Our Lives,1946,William Wyler ,"Myrna Loy, Dana Andrews",8.0,"64,512"
