Title,Location,Price,Area,Number of Rooms,Interior
                        Apartment Beethovenstraat                            ,            1077 JS Amsterdam (Apollobuurt)        ,"                €3,500 per month            ",210 m²,7 rooms,Upholstered
                        Apartment Papaverweg                            ,            1032 KH Amsterdam (Volewijck)        ,"                €1,395 per month            ",40 m²,2 rooms,Upholstered
                        Apartment Leidsekruisstraat 32 1hg                            ,            1017 RJ Amsterdam (De Weteringschans)        ,"                €1,550 per month            ",50 m²,2 rooms,Furnished
                        Studio Bos en Lommerplantsoen 43 A                            ,            1055 AA Amsterdam (De Kolenkit)        ,"                €1,250 per month            ",30 m²,1 room,Shell
                        Apartment Bos en Lommerplein 91                            ,            1055 AD Amsterdam (De Kolenkit)        ,"                €1,950 per month            ",100 m²,4 rooms,Furnished
                        Apartment Lauriergracht 142 B                            ,            1016 RT Amsterdam (Jordaan)        ,"                €2,350 per month            ",53 m²,2 rooms,Furnished
                        Apartment Johannes Verhulststraat                            ,            1071 NE Amsterdam (Museumkwartier)        ,"                €3,200 per month            ",135 m²,5 rooms,Upholstered
                        House Prinseneiland 59                            ,            1013 LM Amsterdam (Haarlemmerbuurt)        ,"                €3,250 per month            ",120 m²,3 rooms,Furnished
                        Apartment Nieuwendijk                            ,            1012 MP Amsterdam (Burgwallen-Nieuwe Zijde)        ,"                €3,000 per month            ",92 m²,3 rooms,Furnished
                        Apartment Recht Boomssloot 14 E                            ,            1011 EA Amsterdam (Nieuwmarkt/Lastage)        ,"                €4,150 per month            ",145 m²,4 rooms,Furnished
                        Apartment Van Heenvlietlaan                            ,            1083 DD Amsterdam (Buitenveldert-Oost)        ,"                €2,950 per month            ",108 m²,3 rooms,Upholstered or furnished
                        Apartment Haarlemmerweg                            ,            1051 LG Amsterdam (Centrale Markt)        ,"                €1,750 per month            ",60 m²,2 rooms,Furnished
                        Apartment Derde Hugo de Grootstraat                            ,            1052 LL Amsterdam (Frederik Hendrikbuurt)        ,"                €2,500 per month            ",55 m²,3 rooms,Furnished
                        Apartment Sanderijnstraat                            ,            1055 BP Amsterdam (Erasmuspark)        ,"                €1,950 per month            ",65 m²,3 rooms,Furnished
                        Apartment Maarten Jansz. Kosterstraat                            ,            1017 VZ Amsterdam (De Weteringschans)        ,"                €3,250 per month            ",115 m²,4 rooms,Furnished
                        Apartment Keizersgracht 391 E                            ,            1016 EJ Amsterdam (Grachtengordel-West)        ,"                €2,700 per month            ",109 m²,4 rooms,Upholstered
                        Apartment Keizersgracht 391 D                            ,            1016 EJ Amsterdam (Grachtengordel-West)        ,"                €2,300 per month            ",87 m²,3 rooms,Upholstered
                        House Le Tourmalet 26                            ,            1060 NX Amsterdam (Middelveldsche Akerpolder)        ,"                €2,000 per month            ",134 m²,4 rooms,Furnished
                        Apartment Prinsengracht                            ,            1016 JB Amsterdam (Jordaan)        ,"                €2,495 per month            ",85 m²,2 rooms,Furnished
                        Apartment Bronckhorststraat 6 3                            ,            1071 WR Amsterdam (Museumkwartier)        ,"                €2,600 per month            ",89 m²,3 rooms,Upholstered or furnished
                        Apartment Herengracht                            ,            1015 BA Amsterdam (Grachtengordel-West)        ,"                €3,500 per month            ",132 m²,5 rooms,Furnished
                        Apartment Brouwersgracht 270 D                            ,            1013 HG Amsterdam (Haarlemmerbuurt)        ,"                €2,700 per month            ",85 m²,3 rooms,Upholstered
                        Apartment Gerrit van der Veenstraat                            ,            1077 DW Amsterdam (Apollobuurt)        ,"                €5,500 per month            ",149 m²,6 rooms,Upholstered
                        Apartment Linnaeusstraat 8 2+3                            ,            1092 CK Amsterdam (Oosterparkbuurt)        ,"                €2,500 per month            ",110 m²,3 rooms,Furnished
                        Apartment Akbarstraat                            ,            1061 EA Amsterdam (De Kolenkit)        ,"                €1,750 per month            ",59 m²,3 rooms,Furnished
